Location,L,Species,spab,natexo,T,area,perimeter,complexity,dperimeter,sqrtarea,height,dsqrtarea,dcomplexity,distance,ndetect
KBG,4,Clidemia hirta,CLHI,e14,14,36.904,30.86,5.07994723,32.98,6.074866254,0.65,0.144866254,-0.61005277,1.092,126
BRBG,2,Clidemia hirta,CLHI,e14,14,48.883,36.585,5.232679484,27.255,6.991637862,0.4,1.061637862,-0.457320516,1.151,126
BRBG,2,Clidemia hirta,CLHI,e14,14,42.99,31.597,4.819057715,32.243,6.556675987,1.2,0.626675987,-0.870942285,1.224,126
BRBG,2,Clidemia hirta,CLHI,e14,14,44.955,29.989,4.472733098,33.851,6.704848992,0.45,0.774848992,-1.217266902,1.25,126
BRBG,2,Clidemia hirta,CLHI,e14,14,73.378,41.984,4.901182545,21.856,8.56609596,0.3,2.63609596,-0.788817455,1.264,126
BRBG,2,Clidemia hirta,CLHI,e14,14,77.155,42.769,4.869081659,21.071,8.783791892,1.1,2.853791892,-0.820918341,1.273,126
BRBG,2,Clidemia hirta,CLHI,e14,14,39.519,31.31,4.980581996,32.53,6.286413922,0.5,0.356413922,-0.709418004,1.355,126
BRBG,2,Clidemia hirta,CLHI,e14,14,65.84,37.414,4.61093745,26.426,8.11418511,0.6,2.18418511,-1.07906255,1.393,126
BRBG,2,Clidemia hirta,CLHI,e14,14,42.596,30.714,4.706000519,33.126,6.526561116,1.1,0.596561116,-0.983999481,1.431,126
BRBG,2,Clidemia hirta,CLHI,e14,14,60.213,39.399,5.077384655,24.441,7.759703603,1.08,1.829703603,-0.612615345,1.457,126
BRBG,2,Clidemia hirta,CLHI,e14,14,45.419,32.483,4.819892456,31.357,6.739361988,0.38,0.809361988,-0.870107544,1.479,126
BRBG,2,Clidemia hirta,CLHI,e14,14,61.386,36.494,4.65786396,27.346,7.834921825,0.45,1.904921825,-1.03213604,1.497,126
KBG,4,Clidemia hirta,CLHI,e14,14,57.63,43.765,5.765043957,20.075,7.591442551,2.1,1.661442551,0.075043957,1.553,126
BRBG,2,Clidemia hirta,CLHI,e14,14,118.078,54.624,5.026885639,9.216,10.86637014,0.5,4.93637014,-0.663114361,1.652,126
BRBG,2,Clidemia hirta,CLHI,e14,14,79.304,41.449,4.65443008,22.391,8.905279333,1.5,2.975279333,-1.03556992,1.658,126
BRBG,2,Clidemia hirta,CLHI,e14,14,77.813,44.78,5.076425413,19.06,8.821167723,1.2,2.891167723,-0.613574587,1.671,126
BRBG,2,Clidemia hirta,CLHI,e14,14,76.27,45.065,5.16015209,18.775,8.73326972,0.65,2.80326972,-0.52984791,1.699,126
BRBG,2,Clidemia hirta,CLHI,e14,14,62.092,32.915,4.177111182,30.925,7.879847714,1.2,1.949847714,-1.512888818,1.773,126
BRBG,2,Clidemia hirta,CLHI,e14,14,123.784,53.479,4.806744318,10.361,11.12582581,0.65,5.19582581,-0.883255682,1.799,126
BRBG,2,Clidemia hirta,CLHI,e14,14,24.785,24.569,4.935066608,39.271,4.978453575,0.9,-0.951546425,-0.754933392,1.85,126
KBG,4,Clidemia hirta,CLHI,e14,14,28.296,29.18,5.485582666,34.66,5.319398462,0.9,-0.610601538,-0.204417334,2.001,126
KBG,4,Clidemia hirta,CLHI,e14,14,57.48,39.679,5.233621835,24.161,7.581556568,0.7,1.651556568,-0.456378165,2.086,126
BRBG,2,Clidemia hirta,CLHI,e14,14,44.626,32.363,4.844565061,31.477,6.680269456,0.35,0.750269456,-0.845434939,2.125,126
BRBG,2,Clidemia hirta,CLHI,e14,14,42.431,30.856,4.736941183,32.984,6.513908197,0.6,0.583908197,-0.953058817,2.293,126
BRBG,2,Clidemia hirta,CLHI,e14,14,46.66,33.365,4.884484794,30.475,6.830812543,0.5,0.900812543,-0.805515206,2.308,126
BRBG,2,Clidemia hirta,CLHI,e14,14,35.587,26.366,4.419758692,37.474,5.965484054,1.2,0.035484054,-1.270241308,2.442,126
BRBG,2,Clidemia hirta,CLHI,e14,14,78.364,46.021,5.198735874,17.819,8.852344322,1.2,2.922344322,-0.491264126,2.53,126
BRBG,2,Clidemia hirta,CLHI,e14,14,46.723,32.45,4.747329117,31.39,6.835422445,1.1,0.905422445,-0.942670883,2.532,126
BRBG,2,Clidemia hirta,CLHI,e14,14,44.226,35.482,5.335427965,28.358,6.650263153,1.1,0.720263153,-0.354572035,2.551,126
BRBG,2,Clidemia hirta,CLHI,e14,14,55.299,35.665,4.796048756,28.175,7.43632974,0.5,1.50632974,-0.893951244,2.609,126
BRBG,2,Clidemia hirta,CLHI,e14,14,50.996,32.614,4.56705257,31.226,7.141148367,1.5,1.211148367,-1.12294743,2.695,126
BRBG,2,Clidemia hirta,CLHI,e14,14,93.243,47.174,4.885337631,16.666,9.656241505,1.65,3.726241505,-0.804662369,2.764,126
BRBG,2,Clidemia hirta,CLHI,e14,14,58.96,36.748,4.785804682,27.092,7.678541528,1.51,1.748541528,-0.904195318,3.497,126
KBG,4,Clidemia hirta,CLHI,e14,14,92.209,45.128,4.699584152,18.712,9.602551744,0.8,3.672551744,-0.990415848,3.585,126
BRBG,2,Clidemia hirta,CLHI,e14,14,46.869,31.628,4.61986076,32.212,6.846093777,0.5,0.916093777,-1.07013924,3.614,126
KBG,4,Clidemia hirta,CLHI,e14,14,46.497,36.101,5.294278285,27.739,6.818870874,0.35,0.888870874,-0.395721715,3.925,126
BRBG,2,Clidemia hirta,CLHI,e14,14,54.53,37.301,5.051294926,26.539,7.384443107,1.12,1.454443107,-0.638705074,3.972,126
BRBG,2,Clidemia hirta,CLHI,e14,14,43.794,30.397,4.593285249,33.443,6.617703529,0.3,0.687703529,-1.096714751,4.01,126
BRBG,2,Clidemia hirta,CLHI,e14,14,38.328,28.952,4.676495181,34.888,6.190961153,0.9,0.260961153,-1.013504819,4.3,126
BRBG,2,Clidemia hirta,CLHI,e14,14,53.014,36.985,5.07960961,26.855,7.28107135,0.5,1.35107135,-0.61039039,4.3,126
CBG,3,Clidemia hirta,CLHI,e14,14,60.624,45.426,5.834211952,18.414,7.786141535,0.2,1.856141535,0.144211952,4.482,126
BRBG,2,Clidemia hirta,CLHI,e14,14,55.056,35.287,4.755677653,28.553,7.419973046,0.8,1.489973046,-0.934322347,4.648,126
BRBG,2,Clidemia hirta,CLHI,e14,14,60.465,37.643,4.840967858,26.197,7.775924382,1.55,1.845924382,-0.849032142,4.841,126
